Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
2/27/02,23,3,0,0,T
2/28/02,24,10,T,0,T
3/1/02,16,3,0,0,T
3/2/02,21,7,T,0,T
3/3/02,7,-3,0,0,0
3/4/02,21,1,T,0.8,0
3/5/02,23,16,0.09,1.6,T
3/6/02,24,16,T,T,2
3/7/02,28,15,0.06,0.5,1
3/8/02,32,22,0.44,T,1
3/9/02,31,7,0.23,1.6,1
3/10/02,18,4,0,0,2
3/11/02,32,18,0,0,1
3/12/02,46,19,0,0,1
3/13/02,40,31,0.08,0,T
3/14/02,33,26,0.36,9,T
3/15/02,34,22,0.09,1.8,10
3/16/02,37,12,0,0,7
